COMMUNITY DISTRICTS,All Households Median Incomes,Families Median Incomes,Families with Children Median Incomes,Families without Children Median Incomes,Unemployment Rate,Income Diversity Ratio,Labor Force Participation Rate,Employment Population Ratio,Parental Employment Instability,Less than High School Degree,High School Degree,Some College,Associate's Degree,Bachelor's Degree or Higher,Total Population
Sunnyside/Woodside(Q02),"$85,026 ","$99,866 ","$83,396 ","$111,100 ",3.90%,5,69.80%,67.10%,16.70%,"15,348","24,977","12,210","6,323","45,215","125,926"
Sunset Park(K07),"$71,321 ","$73,357 ","$61,359 ","$89,786 ",3.30%,5.7,64.30%,62.10%,25.30%,"28,342","22,627","7,480","5,039","28,055","129,890"
The Rockaways(Q14),"$57,831 ","$65,422 ","$63,095 ","$73,301 ",6.30%,5.9,57.30%,53.70%,29.70%,"16,479","21,969","15,645","6,248","19,715","126,629"
Throgs Neck(B10),"$64,131 ","$74,323 ","$64,539 ","$74,857 ",4.50%,5.5,55.70%,53.00%,27.20%,"16,836","20,928","15,733","9,554","20,803","136,930"
Tottenville(S03),"$113,516 ","$131,483 ","$128,628 ","$133,170 ",3.10%,4.1,61.80%,59.90%,16.30%,"6,318","32,030","19,838","8,992","47,030","161,071"
Unionport/Soundview(B09),"$46,210 ","$55,040 ","$43,890 ","$60,864 ",6.90%,7.2,57.60%,53.70%,50.50%,"28,861","33,648","22,392","10,514","23,312","184,743"
University Heights(B05),"$33,653 ","$44,073 ","$40,029 ","$48,665 ",11.60%,7.2,59.10%,52.10%,42.10%,"26,581","27,008","11,931","7,136","12,987","114,828"
Upper East Side(M08),"$141,089 ","$237,402 ","$262,708 ","$189,012 ",2.00%,4.4,67.70%,66.20%,10.80%,"4,016","10,464","13,920","2,798","138,146","206,975"
Upper West Side(M07),"$143,685 ","$254,769 ","$262,708 ","$248,139 ",2.30%,6,68.80%,67.20%,19.30%,"6,766","10,374","8,703","2,397","116,835","226,989"
Washington Heights(M12),"$56,227 ","$62,542 ","$54,474 ","$66,390 ",6.20%,6.2,67.50%,63.40%,25.10%,"38,137","33,078","20,466","6,216","54,747","202,678"
Williamsbridge(B12),"$63,289 ","$72,354 ","$58,166 ","$80,065 ",8.30%,5.7,62.50%,57.30%,41.50%,"19,079","32,899","16,402","8,658","25,007","153,790"
Williamsburg/Greenpoint(K01),"$103,280 ","$85,650 ","$78,105 ","$93,297 ",4.00%,6.4,73.90%,70.90%,57.60%,"16,982","19,414","11,181","4,598","57,701","186,944"
Woodhaven(Q09),"$80,891 ","$91,719 ","$96,574 ","$90,274 ",5.20%,4.4,64.20%,60.70%,22.20%,"20,215","27,206","15,904","7,130","31,448","136,313"
